epochs,LSTMLayers,LSTMDims,ReLULayers,ReLUDims,totalAcc,f1_macro,f1_micro,For,Against,Neutral
0,1,50,1,50,0.6253,0.2769,0.6253,0.0984,0.0625,0.0625,0.8679
5,1,50,1,50,0.5795,0.3036,0.5795,0.1967,0.1094,0.1250,0.7704
10,1,50,1,50,0.5969,0.2592,0.5969,0.0820,0.0781,0.0625,0.8270
15,1,50,1,50,0.5926,0.2625,0.5926,0.0984,0.0781,0.0625,0.8176
20,1,50,1,50,0.5904,0.2769,0.5904,0.1148,0.1094,0.0625,0.8050
25,1,50,1,50,0.5948,0.3361,0.5948,0.1803,0.1562,0.1875,0.7830
30,1,50,1,50,0.5795,0.2769,0.5795,0.0984,0.0781,0.1250,0.7956
35,1,50,1,50,0.5817,0.2990,0.5817,0.1475,0.2031,0.0625,0.7673
40,1,50,1,50,0.5795,0.2777,0.5795,0.1311,0.1250,0.0625,0.7830
45,1,50,1,50,0.5752,0.2520,0.5752,0.0984,0.0625,0.0625,0.7956
50,1,50,1,50,0.5904,0.2911,0.5904,0.0984,0.1406,0.1250,0.7987
55,1,50,1,50,0.6122,0.2796,0.6122,0.0656,0.0781,0.1250,0.8491
60,1,50,1,50,0.5926,0.3092,0.5926,0.1311,0.1562,0.1250,0.7925
65,1,50,1,50,0.5817,0.2858,0.5817,0.1639,0.1250,0.0625,0.7799
70,1,50,1,50,0.5708,0.2933,0.5708,0.1311,0.1562,0.1250,0.7610
75,1,50,1,50,0.5817,0.2591,0.5817,0.1475,0.0312,0.0625,0.8019
80,1,50,1,50,0.5991,0.2774,0.5991,0.1311,0.0938,0.0625,0.8176
85,1,50,1,50,0.5795,0.2727,0.5795,0.1311,0.1094,0.0625,0.7862
90,1,50,1,50,0.5664,0.2807,0.5664,0.1311,0.0938,0.1250,0.7673
95,1,50,1,50,0.5643,0.2875,0.5643,0.1475,0.1094,0.1250,0.7579
100,1,50,1,50,0.5969,0.2790,0.5969,0.1475,0.0938,0.0625,0.8113
105,1,50,1,50,0.5599,0.2484,0.5599,0.1311,0.0469,0.0625,0.7704
110,1,50,1,50,0.5839,0.2732,0.5839,0.1639,0.0781,0.0625,0.7925
115,1,50,1,50,0.5839,0.2800,0.5839,0.1475,0.0469,0.1250,0.7987
120,1,50,1,50,0.6144,0.3104,0.6144,0.1148,0.0938,0.1875,0.8365
125,1,50,1,50,0.5664,0.2757,0.5664,0.1148,0.1094,0.1250,0.7673
130,1,50,1,50,0.5991,0.2863,0.5991,0.1311,0.0625,0.1250,0.8208
135,1,50,1,50,0.5795,0.2615,0.5795,0.1311,0.0625,0.0625,0.7956
140,1,50,1,50,0.5882,0.2774,0.5882,0.1311,0.1094,0.0625,0.7987
145,1,50,1,50,0.5686,0.2459,0.5686,0.0984,0.0469,0.0625,0.7893
150,1,50,1,50,0.5969,0.2788,0.5969,0.1148,0.1094,0.0625,0.8145
155,1,50,1,50,0.5708,0.2508,0.5708,0.0656,0.0938,0.0625,0.7893
160,1,50,1,50,0.5861,0.2788,0.5861,0.0984,0.1562,0.0625,0.7925
165,1,50,1,50,0.5664,0.2567,0.5664,0.0984,0.0938,0.0625,0.7767
170,1,50,1,50,0.5817,0.2836,0.5817,0.1639,0.1094,0.0625,0.7830
175,1,50,1,50,0.5926,0.2778,0.5926,0.1475,0.0938,0.0625,0.8050
180,1,50,1,50,0.5991,0.2805,0.5991,0.1311,0.1094,0.0625,0.8145
185,1,50,1,50,0.5948,0.2622,0.5948,0.0984,0.0781,0.0625,0.8208
