TruthStatus	SDQC_Labels
2	[[2, 0.0], [3, 0.06147256309330864], [2, 0.1648529752257467], [0, 0.19090067145172493], [3, 1.0]]
2	[[1, 0.0], [3, 0.10856962158743544], [3, 1.0]]
2	[[1, 0.0], [3, 0.03820994447810657], [3, 1.0]]
2	[[1, 0.0], [0, 0.016114378616171758], [3, 0.04384832400898962], [3, 0.7622053268302013], [3, 1.0]]
2	[[1, 0.0], [0, 0.00425048874314183], [1, 0.01918395661222173], [3, 0.02187046730150722], [3, 1.0]]
2	[[1, 0.0], [0, 0.1426756985605419], [3, 0.3882303132938188], [0, 0.504233700254022], [3, 0.8149872988992379], [3, 1.0]]
2	[[1, 0.0], [0, 0.017359501365064648], [3, 0.0472363879874311], [0, 0.06135064132282491], [3, 0.5792510173595014], [3, 0.804873023231855], [3, 0.8545819811466543], [3, 0.9735744089012517], [3, 1.0]]
2	[[1, 0.0], [0, 0.05768261756664106], [1, 0.32696040773507135], [0, 0.3288933495237859], [1, 0.3374635508305867], [3, 0.34020188503126575], [3, 0.7119379806540612], [3, 0.726538299506852], [3, 1.0]]
2	[[1, 0.0], [3, 0.3974358974358974], [3, 1.0]]
2	[[0, 0.0], [1, 1.0]]
2	[[0, 0.0], [3, 0.23794996949359365], [3, 1.0]]
2	[[0, 0.0], [3, 0.20440251572327045], [0, 1.0]]
2	[[2, 0.0], [3, 1.0]]
2	[[2, 0.0], [1, 1.0]]
2	[[2, 0.0], [1, 1.0]]
2	[[2, 0.0], [3, 0.6283018867924528], [3, 1.0]]
2	[[2, 0.0], [3, 0.24264334958802758], [3, 1.0]]
2	[[2, 0.0], [3, 0.5367494824016563], [1, 0.9310300207039337], [3, 1.0]]
2	[[2, 0.0], [3, 0.40189904079062105], [1, 0.6971223718631916], [3, 1.0]]
2	[[2, 0.0], [3, 0.008531721039593567], [3, 0.019078809253894276], [3, 0.05758071965402863], [3, 1.0]]
2	[[2, 0.0], [3, 0.008559032896676635], [3, 0.019139884587843815], [3, 0.1535402889516027], [3, 1.0]]
2	[[2, 0.0], [3, 0.008285355471107269], [3, 0.018527881525940666], [3, 0.07871087697551905], [3, 0.9696557010748128], [3, 0.9777616492424119], [3, 0.9831520232250909], [3, 0.9874251789995596], [3, 1.0]]
2	[[3, 0.0], [3, 1.0]]
2	[[3, 0]]
2	[[2, 0.0], [3, 1.0]]
2	[[3, 0]]
2	[[0, 0]]
2	[[1, 0]]
2	[[3, 0]]
2	[[3, 0]]
2	[[1, 0]]
2	[[3, 0.0], [3, 1.0]]
2	[[3, 0.0], [3, 1.0]]
2	[[3, 0.0], [3, 0.6330843116328708], [3, 1.0]]
2	[[3, 0.0], [3, 0.13571886153564564], [3, 1.0]]
2	[[3, 0.0], [3, 0.11073541842772612], [3, 1.0]]
2	[[3, 0.0], [3, 0.05554236483277932], [3, 0.13840648531307237], [0, 0.14388440404314498], [3, 1.0]]
2	[[3, 0.0], [3, 0.04869526429261765], [3, 0.12134413798230614], [0, 0.12614675488811242], [3, 0.13720912943275593], [3, 0.15676157906475355], [3, 0.2192996803211657], [3, 0.22732882313582634], [3, 0.34404876960820757], [3, 0.35372834733477065], [3, 1.0]]
2	[[3, 0.0], [3, 0.04087465521760294], [3, 0.10185589655904048], [0, 0.10588719843241017], [3, 0.11517292163298928], [3, 0.1315851877737978], [3, 0.1840794778028781], [3, 0.19081911560975], [3, 0.28879348002446237], [3, 0.2969184878249691], [3, 0.9994258827053405], [3, 1.0]]
2	[[3, 0.0], [3, 0.34215751158173396], [3, 1.0]]
2	[[1, 0.0], [3, 1.0]]
2	[[1, 0.0], [3, 0.013260640168835738], [3, 1.0]]
2	[[3, 0]]
2	[[1, 0.0], [3, 0.012370341913177103], [3, 0.44010756819054936], [3, 0.9971571263926239], [3, 1.0]]
2	[[3, 0]]
2	[[3, 0.0], [3, 1.0]]
2	[[0, 0.0], [1, 1.0]]
2	[[0, 0.0], [3, 1.0]]
2	[[0, 0.0], [3, 1.0]]
2	[[0, 0.0], [3, 1.0]]
2	[[0, 0.0], [3, 1.0]]
2	[[0, 0.0], [3, 0.5151862464183381], [3, 1.0]]
2	[[0, 0.0], [3, 0.24134078212290502], [3, 1.0]]
2	[[0, 0.0], [3, 1.0]]
2	[[0, 0.0], [3, 0.07077034270914895], [2, 0.5431548515328555], [2, 1.0]]
2	[[0, 0.0], [3, 0.0962720196640721], [3, 0.6192544039328144], [3, 1.0]]
2	[[0, 0.0], [3, 0.11270983213429256], [2, 0.8650359712230216], [3, 0.9414868105515588], [3, 1.0]]
2	[[0, 0.0], [3, 0.020293259183779208], [3, 0.1305331514136198], [1, 0.2923265573996995], [0, 0.4094920640403447], [2, 0.8777914025664496], [3, 1.0]]
2	[[1, 0]]
2	[[3, 0]]
2	[[0, 0.0], [3, 0.0841723249824397], [0, 1.0]]
2	[[0, 0.0], [0, 0.07987975091260469], [3, 1.0]]
2	[[0, 0.0], [0, 0.19375], [3, 0.79375], [3, 1.0]]
2	[[3, 0]]
2	[[1, 0]]
2	[[3, 0]]
2	[[3, 0]]
2	[[1, 0]]
2	[[1, 0.0], [1, 0.13614107799516467], [1, 1.0]]
2	[[1, 0.0], [3, 0.4215686274509804], [3, 0.928860294117647], [1, 1.0]]
2	[[1, 0.0], [1, 0.048118627028579636], [1, 0.38003015941404567], [3, 0.5007109004739336], [3, 1.0]]
2	[[1, 0.0], [1, 0.07339215342151029], [3, 0.10713658917944381], [3, 0.1223574836064266], [3, 1.0]]
2	[[1, 0.0], [3, 0.1440324910503067], [3, 0.31735298427784875], [1, 0.3736680134821111], [3, 1.0]]
2	[[1, 0.0], [1, 0.07553118124199534], [1, 0.287231946405701], [1, 0.8706774818560967], [3, 0.9110209845325277], [3, 1.0]]
2	[[1, 0.0], [1, 0.08711791220029544], [3, 0.12717321313586608], [3, 0.14524071057914473], [1, 0.9961175713041173], [1, 1.0]]
2	[[1, 0.0], [1, 0.20631503408683172], [1, 0.7845801937567277], [3, 0.8160656620021528], [3, 0.8392088266953713], [3, 0.9685145317545748], [1, 1.0]]
2	[[1, 0]]
2	[[1, 0.0], [3, 1.0]]
2	[[1, 0.0], [3, 1.0]]
2	[[1, 0.0], [3, 0.0761645119379779], [3, 0.10244723222082597], [3, 0.11281974824817363], [3, 1.0]]
2	[[1, 0.0], [3, 0.0765509269169842], [3, 0.21486064134948837], [3, 0.23521856402791455], [3, 1.0]]
2	[[1, 0.0], [0, 0.27349248112259084], [3, 0.2825728892596633], [0, 0.31112964983208197], [1, 1.0]]
2	[[1, 0.0], [3, 0.03956977824990041], [3, 0.05322445005090072], [3, 0.6978267605010402], [3, 0.7027176559111229], [3, 1.0]]
2	[[1, 0.0], [3, 0.023231489842719697], [3, 0.06520538689915481], [3, 0.07138355995296533], [3, 0.0740666151277537], [3, 1.0]]
2	[[1, 0.0], [0, 0.41641832364388426], [3, 0.43024410897780385], [0, 0.4737244939502011], [1, 0.4883970882798378], [0, 0.522937124432068], [3, 1.0]]
2	[[1, 0.0], [3, 0.16059639825751112], [3, 0.45075672519872456], [3, 0.4934656666816365], [3, 0.5120132932141734], [3, 0.9393272555800063], [3, 0.9818116495262047], [3, 1.0]]
2	[[1, 0.0], [0, 0.41510689761529845], [3, 0.42888914141004203], [0, 0.4722325936267268], [1, 0.4868589795620201], [0, 0.5212902387948247], [1, 0.5485625233356601], [0, 0.579503579487346], [3, 1.0]]
2	[[1, 0.0], [0, 0.7015171051548654], [3, 0.7248086472250418], [0, 0.7980576664563387], [1, 0.8227757811857014], [0, 0.8809634852267427], [1, 0.9270527557543002], [0, 0.9793421305313983], [3, 0.9810156099969822], [3, 1.0]]
2	[[1, 0.0], [0, 0.37089521930842423], [3, 0.38320956138315154], [0, 0.4219366442330007], [1, 0.4350052216291483], [0, 0.4657693200278487], [1, 0.4901369227198886], [0, 0.5177825481550243], [3, 0.8011574611278719], [3, 0.8940009282896264], [3, 1.0]]
2	[[1, 0]]
2	[[3, 0]]
2	[[0, 0.0], [3, 1.0]]
2	[[0, 0.0], [1, 1.0]]
2	[[0, 0.0], [3, 0.35361957875358707], [0, 0.6918620390925334], [3, 1.0]]
2	[[0, 0.0], [3, 0.1284214252005663], [0, 0.2512584552461853], [1, 1.0]]
2	[[0, 0.0], [3, 0.11718371521360774], [0, 0.22927170617049145], [1, 1.0]]
2	[[0, 0.0], [3, 0.11362410619530611], [0, 0.2223072774404565], [0, 0.23629499469371423], [1, 1.0]]
2	[[3, 0]]
2	[[1, 0.0], [3, 1.0]]
2	[[1, 0.0], [3, 0.1953361195091588], [3, 1.0]]
2	[[1, 0.0], [3, 0.8775637818909455], [3, 1.0]]
2	[[1, 0.0], [3, 0.16873872790669714], [3, 1.0]]
2	[[1, 0.0], [3, 0.07900158746242443], [3, 0.7118699406671846], [3, 1.0]]
2	[[1, 0.0], [3, 0.21447924040127903], [3, 0.31431082037638214], [3, 0.5324025482682028], [3, 0.5548829602870463], [3, 0.8702921721301472], [3, 0.9455197832507506], [3, 1.0]]
2	[[1, 0.0], [3, 0.04045468357227701], [3, 0.059284734307523734], [3, 0.263174129628095], [3, 0.3778670939108496], [3, 0.7479673673839581], [3, 0.7654024290305056], [3, 1.0]]
2	[[3, 0]]
2	[[3, 0.0], [3, 1.0]]
2	[[3, 0.0], [3, 0.7350613602477348], [3, 1.0]]
2	[[0, 0.0], [3, 0.5921710665898827], [3, 0.8421937986845695], [3, 0.8486497135756069], [0, 0.8556511987391264], [3, 0.898402691480011], [0, 0.9073288273270088], [1, 0.9112690570727124], [0, 0.9295456612008608], [3, 0.9380171551541236], [3, 1.0]]
2	[[3, 0.0], [1, 1.0]]
2	[[1, 0.0], [3, 0.940195173414216], [3, 1.0]]
2	[[1, 0.0], [3, 0.4339846603360117], [3, 1.0]]
2	[[1, 0.0], [3, 0.05666034244489729], [1, 0.6913311315672358], [1, 1.0]]
2	[[0, 0.0], [3, 0.0918293564714389], [3, 0.8286334056399133], [3, 1.0]]
2	[[3, 0.0], [3, 0.026644462947543714], [3, 1.0]]
2	[[3, 0.0], [3, 0.0141718334809566], [3, 0.983170947741364], [3, 1.0]]
2	[[3, 0.0], [3, 0.00839674626082393], [3, 0.6559958016268695], [3, 0.7131986355287326], [3, 1.0]]
2	[[3, 0.0], [3, 0.007928642220019821], [3, 0.6194251734390486], [3, 0.6734390485629336], [3, 0.8664519326065411], [3, 0.8751238850346879], [3, 1.0]]
2	[[0, 0.0], [3, 0.09120982986767485], [0, 0.3686200378071834], [3, 0.4281663516068053], [3, 0.9551039697542533], [3, 1.0]]
2	[[3, 0.0], [1, 1.0]]
2	[[0, 0.0], [3, 0.10845295055821372], [0, 0.7192982456140351], [3, 1.0]]
2	[[0, 0.0], [1, 0.013322971022538026], [0, 0.06517153325191517], [1, 0.509936715887643], [0, 0.700677251026979], [1, 0.8137004552015099], [0, 0.9826801376707006], [1, 1.0]]
2	[[0, 0.0], [3, 1.0]]
2	[[0, 0.0], [1, 0.32122370936902483], [3, 0.35830077313159864], [3, 0.4063513176490149], [3, 1.0]]
