TruthStatus	SDQC_Labels
2	[[2, 0.0], [3, 0.05975269420929884], [2, 0.1447471299618525], [0, 0.16377407200085337], [3, 0.5314079480933427]]
2	[[1, 0.0], [3, 0.2691236170005359], [3, 0.9496745633428192]]
2	[[1, 0.0], [3, 0.2691236170005359], [3, 1.3703948519799056]]
2	[[1, 0.0], [0, 0.03886291402294227], [3, 0.09854758979410697], [3, 0.734622058615467], [3, 0.8330939644511876]]
2	[[1, 0.0], [0, 0.03886291402294227], [1, 0.15305227506710875], [3, 0.17075051058657006], [3, 1.3621734410415884]]
2	[[1, 0.0], [0, 0.03886291402294227], [3, 0.09854758979410697], [0, 0.1241236700908581], [3, 0.18602978158986108], [3, 0.21908947092932468]]
2	[[1, 0.0], [0, 0.03886291402294227], [3, 0.09854758979410697], [0, 0.1241236700908581], [3, 0.6152777011647762], [3, 0.7275638477061813], [3, 0.748833818176352], [3, 0.7958800173440752], [3, 0.8056707366983731]]
2	[[1, 0.0], [0, 0.6883703776488229], [1, 1.3615337238536682], [0, 1.3639826118384224], [1, 1.3746770775895785], [3, 1.378039374243531], [3, 1.6891435372142651], [3, 1.6977813074586638], [3, 1.8341344709929737]]
2	[[1, 0.0], [3, 0.018307440572899958], [3, 0.04467039491946099]]
2	[[0, 0.0], [1, 1.8270873353547394]]
2	[[0, 0.0], [3, 0.04467039491946099], [3, 0.16294589768065898]]
2	[[0, 0.0], [3, 0.04467039491946099], [0, 0.1846914308175988]]
2	[[2, 0.0], [3, 0.7416111350405789]]
2	[[2, 0.0], [1, 0.5170858803478905]]
2	[[2, 0.0], [1, 1.2018672795562202]]
2	[[2, 0.0], [3, 0.3429159170840855], [3, 0.4644729874262706]]
2	[[2, 0.0], [3, 0.3429159170840855], [3, 0.7749425360535422]]
2	[[2, 0.0], [3, 0.3328871112797859], [1, 0.4769201459029623], [3, 0.49785073957840653]]
2	[[2, 0.0], [3, 0.3328871112797859], [1, 0.4769201459029623], [3, 0.5873679327028734]]
2	[[2, 0.0], [3, 0.10796329938038772], [3, 0.21248354614072687], [3, 0.46310460725159613], [3, 1.5324889664792543]]
2	[[2, 0.0], [3, 0.10796329938038772], [3, 0.21248354614072687], [3, 0.7826716500997924], [3, 1.5311417111996808]]
2	[[2, 0.0], [3, 0.10796329938038772], [3, 0.21248354614072687], [3, 0.5659789264426351], [3, 1.5318513138768963], [3, 1.5353609402596509], [3, 1.5376792031468258], [3, 1.539508225706155], [3, 1.5448463192242143]]
2	[[3, 0.0], [3, 0.2076493252660369]]
2	[[3, 0]]
2	[[2, 0.0], [3, 0.19289254145238507]]
2	[[3, 0]]
2	[[0, 0]]
2	[[1, 0]]
2	[[3, 0]]
